startNodeId,endNodeId,travelCost,visibilityScore,pathType
0,11,2.000,0.500,Detour
0,1,2.000,0.500,Detour
1,0,2.000,0.500,Detour
1,12,2.000,0.500,Direct
1,2,2.000,0.500,Detour
2,1,2.000,0.500,Detour
2,13,2.000,0.500,Detour
2,3,2.000,0.500,Concealed
3,2,2.000,0.500,Concealed
3,14,2.000,0.500,Concealed
3,4,2.000,0.500,Concealed
4,3,2.000,0.500,Concealed
4,15,2.000,0.500,Concealed
4,5,2.000,0.500,Concealed
5,4,2.000,0.500,Concealed
5,16,2.000,0.500,Concealed
5,6,2.000,0.500,Detour
6,5,2.000,0.500,Detour
6,17,2.000,0.500,Detour
6,7,2.000,0.500,Detour
7,6,2.000,0.500,Detour
7,18,2.000,0.500,Concealed
7,8,2.000,0.500,Concealed
8,7,2.000,0.500,Concealed
8,19,2.000,0.500,Concealed
8,9,2.000,0.500,Concealed
9,8,2.000,0.500,Concealed
9,20,2.000,0.500,Concealed
9,10,2.000,0.500,Detour
10,9,2.000,0.500,Detour
10,21,2.000,0.500,Detour
11,0,2.000,0.500,Detour
11,22,2.000,0.500,Detour
11,12,2.000,0.500,Direct
12,1,2.000,0.500,Direct
12,11,2.000,0.500,Direct
12,23,2.000,0.500,Detour
12,13,2.000,0.500,Direct
13,2,2.000,0.500,Detour
13,12,2.000,0.500,Direct
13,24,2.000,0.500,Detour
13,14,2.000,0.500,Detour
14,3,2.000,0.500,Concealed
14,13,2.000,0.500,Detour
14,25,2.000,0.500,Concealed
14,15,2.000,0.500,Concealed
15,4,2.000,0.500,Concealed
15,14,2.000,0.500,Concealed
15,26,2.000,0.500,Concealed
15,16,2.000,0.500,Concealed
16,5,2.000,0.500,Concealed
16,15,2.000,0.500,Concealed
16,27,2.000,0.500,Concealed
16,17,2.000,0.500,Concealed
17,6,2.000,0.500,Detour
17,16,2.000,0.500,Concealed
17,28,2.000,0.500,Detour
17,18,2.000,0.500,Concealed
18,7,2.000,0.500,Concealed
18,17,2.000,0.500,Concealed
18,29,2.000,0.500,Detour
18,19,2.000,0.500,Concealed
19,8,2.000,0.500,Concealed
19,18,2.000,0.500,Concealed
19,30,2.000,0.500,Concealed
19,20,2.000,0.500,Concealed
20,9,2.000,0.500,Concealed
20,19,2.000,0.500,Concealed
20,31,2.000,0.500,Detour
20,21,2.000,0.500,Concealed
21,10,2.000,0.500,Detour
21,20,2.000,0.500,Concealed
21,32,2.000,0.500,Detour
22,11,2.000,0.500,Detour
22,33,2.000,0.500,Detour
22,23,2.000,0.500,Concealed
23,12,2.000,0.500,Detour
23,22,2.000,0.500,Concealed
23,34,2.000,0.500,Concealed
23,24,2.000,0.500,Concealed
24,13,2.000,0.500,Detour
24,23,2.000,0.500,Concealed
24,35,2.000,0.500,Detour
24,25,2.000,0.500,Concealed
25,14,2.000,0.500,Concealed
25,24,2.000,0.500,Concealed
25,36,2.000,0.500,Detour
25,26,2.000,0.500,Concealed
26,15,2.000,0.500,Concealed
26,25,2.000,0.500,Concealed
26,37,2.000,0.500,Detour
26,27,2.000,0.500,Concealed
27,16,2.000,0.500,Concealed
27,26,2.000,0.500,Concealed
27,38,2.000,0.500,Detour
27,28,2.000,0.500,Detour
28,17,2.000,0.500,Detour
28,27,2.000,0.500,Detour
28,39,2.000,0.500,Direct
28,29,2.000,0.500,Direct
29,18,2.000,0.500,Detour
29,28,2.000,0.500,Direct
29,40,2.000,0.500,Detour
29,30,2.000,0.500,Detour
30,19,2.000,0.500,Concealed
30,29,2.000,0.500,Detour
30,41,2.000,0.500,Concealed
30,31,2.000,0.500,Detour
31,20,2.000,0.500,Detour
31,30,2.000,0.500,Detour
31,42,2.000,0.500,Detour
31,32,2.000,0.500,Direct
32,21,2.000,0.500,Detour
32,31,2.000,0.500,Direct
32,43,2.000,0.500,Detour
33,22,2.000,0.500,Detour
33,44,2.000,0.500,Detour
33,34,2.000,0.500,Detour
34,23,2.000,0.500,Concealed
34,33,2.000,0.500,Detour
34,45,2.000,0.500,Detour
34,35,2.000,0.500,Detour
35,24,2.000,0.500,Detour
35,34,2.000,0.500,Detour
35,46,2.000,0.500,Detour
35,36,2.000,0.500,Direct
36,25,2.000,0.500,Detour
36,35,2.000,0.500,Direct
36,47,2.000,0.500,Direct
36,37,2.000,0.500,Direct
37,26,2.000,0.500,Detour
37,36,2.000,0.500,Direct
37,48,2.000,0.500,Detour
37,38,2.000,0.500,Direct
38,27,2.000,0.500,Detour
38,37,2.000,0.500,Direct
38,49,2.000,0.500,Direct
38,39,2.000,0.500,Direct
39,28,2.000,0.500,Direct
39,38,2.000,0.500,Direct
39,50,2.000,0.500,Detour
39,40,2.000,0.500,Detour
40,29,2.000,0.500,Detour
40,39,2.000,0.500,Detour
40,51,2.000,0.500,Concealed
40,41,2.000,0.500,Concealed
41,30,2.000,0.500,Concealed
41,40,2.000,0.500,Concealed
41,52,2.000,0.500,Detour
41,42,2.000,0.500,Concealed
42,31,2.000,0.500,Detour
42,41,2.000,0.500,Concealed
42,53,2.000,0.500,Detour
42,43,2.000,0.500,Concealed
43,32,2.000,0.500,Detour
43,42,2.000,0.500,Concealed
43,54,2.000,0.500,Concealed
44,33,2.000,0.500,Detour
44,55,2.000,0.500,Detour
44,45,2.000,0.500,Detour
45,34,2.000,0.500,Detour
45,44,2.000,0.500,Detour
45,56,2.000,0.500,Direct
45,46,2.000,0.500,Detour
46,35,2.000,0.500,Detour
46,45,2.000,0.500,Detour
46,57,2.000,0.500,Detour
46,47,2.000,0.500,Detour
47,36,2.000,0.500,Direct
47,46,2.000,0.500,Detour
47,58,2.000,0.500,Direct
47,48,2.000,0.500,Detour
48,37,2.000,0.500,Detour
48,47,2.000,0.500,Detour
48,59,2.000,0.500,Concealed
48,49,2.000,0.500,Detour
49,38,2.000,0.500,Direct
49,48,2.000,0.500,Detour
49,60,2.000,0.500,Detour
49,50,2.000,0.500,Detour
50,39,2.000,0.500,Detour
50,49,2.000,0.500,Detour
50,61,2.000,0.500,Concealed
50,51,2.000,0.500,Concealed
51,40,2.000,0.500,Concealed
